"reg_no","title_front","name","surname","title_back","PIN","city"
14847,"JUDr.","Helena","Nutilová","Ph.D.",1393375,"Èeské Budìjovice"
14998,"Mgr.","Magdaléna","Píseèková","",1659065,"Èeské Budìjovice"
15079,"Mgr.","Kateøina","Pohanková","",1827502,"Èeské Budìjovice"
15106,"Mgr.","Michal","Tomek","",1831071,"Èeské Budìjovice"
15244,"JUDr. Bc.","Jiøí","Trnka","",72128542,"Èeské Budìjovice"
15291,"Mgr.","David","Kadlec","",2279576,"Èeské Budìjovice"
15324,"Mgr.","Adam","Smrèka","",2283549,"Èeské Budìjovice"
15391,"Mgr.","Tereza","Daòková","",2472805,"Èeské Budìjovice"
15609,"Mgr.","Hana","Andrášová","",73566489,"Èeské Budìjovice"
15777,"Mgr.","Martin","Reindl","",3170543,"Èeské Budìjovice"
15882,"Mgr.","Eva","Švecová","",3433676,"Èeské Budìjovice"
15917,"Mgr.","Tomáš","Bláha","",3526984,"Èeské Budìjovice"
15996,"Mgr.","Petra","Svobodová","",3610144,"Èeské Budìjovice"
16032,"JUDr.","Markéta","Svobodová","",3658481,"Èeské Budìjovice"
16036,"Mgr.","Hana","Fabíková","",3658546,"Èeské Budìjovice"
16103,"Mgr.","Lucie","Štindlová","",1017781,"Èeské Budìjovice"
16134,"Mgr.","Linda","Kramáøová","",3747514,"Èeské Budìjovice"
16156,"Mgr.","Martin","Cypris","",74612093,"Èeské Budìjovice"
16252,"Mgr. et Mgr.","Zuzana","Frantíková","",3661741,"Èeské Budìjovice"
16442,"Mgr.","Kateøina","Šrucová","",4198140,"Èeské Budìjovice"
16456,"Mgr.","Petra","Koubová","",4296605,"Èeské Budìjovice"
16464,"Mgr.","Magdalena","Rudolfová","",4296915,"Èeské Budìjovice"
16560,"Mgr.","Lenka","Tomková","",3467767,"Èeské Budìjovice"
16601,"Mgr.","Jakub","Hlásek","",4506901,"Èeské Budìjovice"
16651,"Mgr.","Tomáš","Vít","",4508891,"Èeské Budìjovice"
16703,"Mgr.","Michal","Fidra","",1308874,"Èeské Budìjovice"
50007,"","Wilhelm Hermann","Deutschmann","",66250951,"Èeské Budìjovice"
50008,"Dr.","Alexander","Hasch","",66239257,"Èeské Budìjovice"
50026,"Dr.","Franz","Guggenberger","",71457551,"Èeské Budìjovice"
50045,"Dr.","Bernhard","Steindl","",71462538,"Èeské Budìjovice"
90246,"","Thomas","Riedler","",66251079,"Èeské Budìjovice"
315,"JUDr.","Vladimír","Kracík","",66200822,"Èeské Budìjovice"
458,"JUDr.","Eva","Nıdlová","",66200903,"Èeské Budìjovice"
289,"JUDr.","Yveta","Konfrštová","",66200814,"Èeské Budìjovice"
668,"JUDr.","Jiøí","Švihla","",66200971,"Èeské Budìjovice"
723,"JUDr.","František","Vavroch","",66201039,"Èeské Budìjovice"
